,Player,#,Nation,Pos,Min,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out.1,Int,Blocks,Date,Team,Opponent
123,Leandro Trossard,11.0,be BEL,AM,90,25,25,0,0,0,7,0,2,0,0,0,0,18,6,1,3,22,0,0,0,18,0,0,0,1,07/20/20,Brighton,Newcastle Utd
124,Dale Stephens,6.0,eng ENG,DM,90,56,56,0,0,0,6,2,0,0,0,0,0,49,4,3,3,53,0,0,0,52,0,0,0,1,07/20/20,Brighton,Newcastle Utd
125,Yves Bissouma,8.0,ml MLI,DM,72,45,45,0,0,0,4,3,0,0,0,0,0,35,6,4,6,38,0,0,0,40,0,0,1,1,07/20/20,Brighton,Newcastle Utd
126,Davy Propper,24.0,nl NED,DM,18,10,10,0,0,0,0,1,0,0,0,0,0,10,0,0,1,9,0,0,0,9,0,0,0,0,07/20/20,Brighton,Newcastle Utd
127,Dan Burn,33.0,eng ENG,LB,90,72,69,3,0,0,9,2,2,0,0,0,0,54,9,9,59,4,3,3,0,59,0,1,0,3,07/20/20,Brighton,Newcastle Utd
128,Lewis Dunk,5.0,eng ENG,CB,90,84,82,2,2,0,3,6,0,0,0,0,0,69,5,10,4,75,4,0,1,81,0,1,0,0,07/20/20,Brighton,Newcastle Utd
129,Adam Webster,15.0,eng ENG,"CB,RB",90,75,73,2,2,0,5,4,0,0,0,0,0,60,5,10,13,56,4,0,0,67,0,0,1,0,07/20/20,Brighton,Newcastle Utd
130,Tariq Lamptey,2.0,eng ENG,RB,85,39,34,5,1,0,3,0,3,0,0,0,0,23,7,9,9,23,3,4,0,31,0,2,0,1,07/20/20,Brighton,Newcastle Utd
131,Shane Duffy,4.0,ie IRL,"CB,RB",5,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,4,0,0,0,0,07/20/20,Brighton,Newcastle Utd
132,Mathew Ryan,1.0,au AUS,GK,90,37,27,10,3,0,2,2,0,0,0,0,0,27,2,8,3,27,0,0,7,33,0,0,0,0,07/20/20,Brighton,Newcastle Utd
133,Dwight Gayle,12.0,eng ENG,FW,73,11,11,0,0,0,4,0,0,0,0,0,0,2,2,7,2,4,3,0,0,4,0,0,0,1,07/20/20,Newcastle Utd,Brighton
134,Andy Carroll,7.0,eng ENG,FW,17,5,5,0,0,0,3,0,0,0,0,0,0,3,0,2,2,1,0,0,0,2,0,0,0,1,07/20/20,Newcastle Utd,Brighton
135,Allan Saint-Maximin,10.0,fr FRA,FW,73,16,16,0,0,0,5,0,2,0,0,0,0,10,5,1,2,13,0,0,0,10,0,0,0,1,07/20/20,Newcastle Utd,Brighton
136,Joelinton,9.0,br BRA,FW,17,10,9,1,0,1,3,1,0,0,0,0,0,7,0,3,1,7,1,1,0,10,0,0,0,0,07/20/20,Newcastle Utd,Brighton
137,Miguel Almiron,24.0,py PAR,CM,85,26,26,0,0,0,5,3,1,0,0,0,0,15,6,5,24,2,0,0,0,19,0,0,1,1,07/20/20,Newcastle Utd,Brighton
