,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
83,James Justin,2.0,eng ENG,"WB,CB",90,0,0,0,0,2,0,0,0,94,7,3,1,2,0.1,0.1,0.1,2,0,70,82,85.4,309,70,211,1,1,07/19/20,Leicester City,Tottenham
84,Jonny Evans,6.0,nir NIR,CB,90,0,0,0,0,0,0,1,0,118,7,2,1,1,0.0,0.0,0.1,3,0,104,111,93.7,719,84,218,1,1,07/19/20,Leicester City,Tottenham
85,Wes Morgan,5.0,jm JAM,CB,90,0,0,0,0,2,0,0,0,87,6,0,1,1,0.1,0.1,0.0,5,0,79,81,97.5,401,62,166,0,0,07/19/20,Leicester City,Tottenham
86,Ryan Bennett,29.0,eng ENG,CB,45,0,0,0,0,0,0,0,0,43,2,0,0,1,0.0,0.0,0.0,0,0,40,42,95.2,266,34,121,0,0,07/19/20,Leicester City,Tottenham
87,Demarai Gray,7.0,eng ENG,"WB,CB",45,0,0,0,0,4,1,0,0,45,2,0,0,0,0.2,0.2,0.1,4,0,36,39,92.3,131,36,183,0,0,07/19/20,Leicester City,Tottenham
88,Kasper Schmeichel,1.0,dk DEN,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,295,14,32,0,0,07/19/20,Leicester City,Tottenham
89,David McGoldrick,17.0,ie IRL,FW,90,0,0,0,0,2,0,0,0,49,10,1,0,0,0.1,0.1,0.0,0,0,29,37,78.4,61,28,35,2,5,07/20/20,Sheffield Utd,Everton
90,Oliver McBurnie,9.0,sco SCO,FW,59,0,0,0,0,1,0,0,0,18,18,1,0,1,0.1,0.1,0.0,0,0,7,12,58.3,8,7,7,0,0,07/20/20,Sheffield Utd,Everton
91,John Fleck,4.0,sco SCO,FW,31,0,0,0,0,0,0,0,0,26,3,0,0,0,0.0,0.0,0.1,2,0,21,26,80.8,174,22,68,1,1,07/20/20,Sheffield Utd,Everton
92,Ben Osborn,23.0,eng ENG,CM,59,0,0,0,0,1,0,0,0,36,12,0,1,1,0.1,0.1,0.0,0,0,19,29,65.5,61,25,38,0,0,07/20/20,Sheffield Utd,Everton
93,Billy Sharp,10.0,eng ENG,CM,31,0,0,0,0,0,0,0,0,8,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,15,6,2,0,0,07/20/20,Sheffield Utd,Everton
94,Sander Berge,32.0,no NOR,CM,90,0,0,0,0,0,0,0,0,62,28,2,1,3,0.0,0.0,0.1,2,0,45,52,86.5,213,42,82,1,1,07/20/20,Sheffield Utd,Everton
95,Oliver Norwood,16.0,nir NIR,DM,68,0,0,0,0,0,0,1,0,47,13,3,0,0,0.0,0.0,0.0,0,0,31,43,72.1,172,17,15,0,0,07/20/20,Sheffield Utd,Everton
96,John Lundstram,7.0,eng ENG,DM,22,0,0,0,0,0,0,0,0,21,5,1,0,0,0.0,0.0,0.0,0,0,15,21,71.4,54,19,30,1,1,07/20/20,Sheffield Utd,Everton
97,Enda Stevens,3.0,ie IRL,WB,90,0,0,0,0,2,0,0,0,68,7,4,0,1,0.1,0.1,0.1,2,0,46,60,76.7,228,36,81,2,3,07/20/20,Sheffield Utd,Everton
98,George Baldock,2.0,eng ENG,WB,90,0,0,0,0,1,0,0,0,62,22,4,1,2,0.1,0.1,0.1,4,0,46,54,85.2,370,32,119,1,1,07/20/20,Sheffield Utd,Everton
99,Jack O'Connell,5.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,72,6,1,4,3,0.0,0.0,0.0,0,0,47,61,77.0,589,40,113,0,0,07/20/20,Sheffield Utd,Everton
100,John Egan,12.0,ie IRL,CB,90,0,0,0,0,1,0,0,0,50,7,2,1,0,0.1,0.1,0.0,0,0,31,41,75.6,195,20,91,0,0,07/20/20,Sheffield Utd,Everton
101,Chris Basham,6.0,eng ENG,CB,82,0,0,0,0,0,0,0,0,55,11,5,1,3,0.0,0.0,0.0,1,0,36,43,83.7,252,29,72,1,1,07/20/20,Sheffield Utd,Everton
102,Richairo Zivkovic,30.0,nl NED,CB,8,0,0,0,0,0,0,0,0,3,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,3,2,2,0,0,07/20/20,Sheffield Utd,Everton
103,Dean Henderson,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,8,20,40.0,302,13,34,0,0,07/20/20,Sheffield Utd,Everton
104,Richarlison,7.0,br BRA,FW,90,1,0,0,0,1,1,1,0,50,19,2,1,2,0.0,0.0,0.0,0,0,17,30,56.7,82,38,86,3,8,07/20/20,Everton,Sheffield Utd
105,Dominic Calvert-Lewin,9.0,eng ENG,FW,90,0,0,0,0,2,1,1,0,21,9,0,0,0,0.2,0.2,0.0,1,0,6,9,66.7,42,13,24,1,2,07/20/20,Everton,Sheffield Utd
106,Gylfi Sigurdsson,10.0,is ISL,CM,87,0,1,0,0,0,0,0,0,37,11,0,0,1,0.0,0.0,0.1,3,1,23,28,82.1,147,28,50,1,3,07/20/20,Everton,Sheffield Utd
107,Seamus Coleman,23.0,ie IRL,"CM,RB",3,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,07/20/20,Everton,Sheffield Utd
