,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
James Milner,M,-0.1548,-1.3932,-0.10659999999999997,-3.0913999999999993,-4.4845999999999995
Jan Vertonghen,D,-0.1472,-2.7968,-0.09039999999999998,-1.7175999999999996,-4.5144
Junior Stanislas,M,-0.1774,-1.2418,-0.10659999999999997,-3.3045999999999993,-4.546399999999999
Daniel James,M,-0.12619999999999998,-3.2811999999999992,-0.10659999999999997,-1.2791999999999997,-4.560399999999999
Philip Billing,M,-0.12459999999999999,-3.6133999999999995,-0.10659999999999997,-0.9593999999999998,-4.572799999999999
Abdoulaye Doucoure,M,-0.12159999999999999,-4.377599999999999,-0.10659999999999997,-0.21319999999999995,-4.590799999999999
Ben Davies,D,-0.16299999999999998,-2.6079999999999997,-0.09039999999999998,-1.9887999999999995,-4.596799999999999
Juan Mata,M,-0.17720000000000002,-1.4176000000000002,-0.10659999999999997,-3.197999999999999,-4.615599999999999
Phil Bardsley,D,-0.1492,-3.1332,-0.09039999999999998,-1.5367999999999997,-4.67
Pablo Zabaleta,D,-0.297,-1.782,-0.09039999999999998,-2.8927999999999994,-4.674799999999999
Rob Holding,D,-0.2994,-1.7964,-0.09039999999999998,-2.8927999999999994,-4.6892
Teemu Pukki,F,-0.11880000000000002,-3.9204000000000008,-0.15460000000000002,-0.7730000000000001,-4.6934000000000005
Simon Francis,D,-0.21700000000000003,-2.1700000000000004,-0.09039999999999998,-2.5311999999999992,-4.7012
Conor Hourihane,M,-0.14900000000000002,-2.3840000000000003,-0.10659999999999997,-2.3451999999999993,-4.7292
Jetro Willems,D,-0.1624,-2.9231999999999996,-0.09039999999999998,-1.8079999999999996,-4.731199999999999
Yan Valery,D,-0.22660000000000002,-2.266,-0.09039999999999998,-2.5311999999999992,-4.797199999999999
Hector Bellerin,D,-0.21700000000000003,-2.3870000000000005,-0.09039999999999998,-2.4407999999999994,-4.8278
Robbie Brady,M,-0.2622,-1.311,-0.10659999999999997,-3.517799999999999,-4.828799999999999
Neal Maupay,F,-0.12140000000000001,-3.6420000000000003,-0.15460000000000002,-1.2368000000000001,-4.8788
Mason Greenwood,F,-0.07340000000000002,-0.8808000000000002,-0.15460000000000002,-4.0196000000000005,-4.900400000000001
Timm Klose,D,-0.3002,-2.1014,-0.09039999999999998,-2.8023999999999996,-4.9037999999999995
Nemanja Matic,M,-0.15439999999999998,-2.7791999999999994,-0.10659999999999997,-2.1319999999999997,-4.911199999999999
Joelinton,F,-0.12680000000000002,-4.057600000000001,-0.15460000000000002,-0.9276000000000001,-4.985200000000001
Grant Hanley,D,-0.20400000000000001,-2.8560000000000003,-0.09039999999999998,-2.1695999999999995,-5.0256
David Brooks,M,-0.2338,-1.8704,-0.10659999999999997,-3.197999999999999,-5.068399999999999
Ryan Bennett,D,-0.2556,-2.556,-0.09039999999999998,-2.5311999999999992,-5.087199999999999
Oliver Norwood,M,-0.13679999999999998,-4.787999999999999,-0.10659999999999997,-0.3197999999999999,-5.107799999999999
Moritz Leitner,M,-0.25780000000000003,-1.8046000000000002,-0.10659999999999997,-3.3045999999999993,-5.1091999999999995
Kieran Tierney,D,-0.24320000000000003,-2.6752000000000002,-0.09039999999999998,-2.4407999999999994,-5.116
Lloyd Kelly,D,-0.3306,-2.3142,-0.09039999999999998,-2.8023999999999996,-5.1166
Pedro Neto,F,-0.07240000000000002,-0.6516000000000002,-0.15460000000000002,-4.4834000000000005,-5.135000000000001
Jay Rodriguez,F,-0.1184,-2.3680000000000003,-0.15460000000000002,-2.7828000000000004,-5.1508
Rodrigo,M,-0.14839999999999998,-4.155199999999999,-0.10659999999999997,-1.0659999999999998,-5.221199999999999
Joseph Willock,M,-0.2746,-1.9222000000000001,-0.10659999999999997,-3.3045999999999993,-5.226799999999999
Max Meyer,M,-0.3028,-1.8168000000000002,-0.10659999999999997,-3.411199999999999,-5.228
Andriy Yarmolenko,F,-0.0902,-0.902,-0.15460000000000002,-4.3288,-5.2308
Steven Alzate,F,-0.10120000000000001,-1.2144000000000001,-0.15460000000000002,-4.0196000000000005,-5.234000000000001
