,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Neal Maupay,F,-0.030000000000000027,-0.9000000000000008,-0.029000000000000026,-0.2320000000000002,-1.132000000000001
James Milner,M,-0.026000000000000023,-0.2340000000000002,-0.031000000000000028,-0.8990000000000008,-1.133000000000001
James Tomkins,D,-0.032999999999999974,-0.5939999999999995,-0.027000000000000024,-0.5400000000000005,-1.134
Joseph Gomez,D,-0.03199999999999997,-0.7039999999999994,-0.027000000000000024,-0.4320000000000004,-1.1359999999999997
Mario Vrancic,M,-0.025000000000000022,-0.15000000000000013,-0.031000000000000028,-0.9920000000000009,-1.142000000000001
Calum Chambers,D,-0.03699999999999998,-0.4809999999999997,-0.027000000000000024,-0.6750000000000006,-1.1560000000000004
Conor Hourihane,M,-0.030000000000000027,-0.4800000000000004,-0.031000000000000028,-0.6820000000000006,-1.162000000000001
Jorginho,M,-0.031000000000000028,-0.8370000000000007,-0.031000000000000028,-0.3410000000000003,-1.178000000000001
Kenny McLean,M,-0.031000000000000028,-0.9920000000000009,-0.031000000000000028,-0.18600000000000017,-1.178000000000001
Danny Welbeck,F,-0.03899999999999998,-0.31199999999999983,-0.029000000000000026,-0.8700000000000008,-1.1820000000000006
Kevin Long,D,-0.05299999999999999,-0.31799999999999995,-0.027000000000000024,-0.8640000000000008,-1.1820000000000008
Michael Obafemi,F,-0.03999999999999998,-0.31999999999999984,-0.029000000000000026,-0.8700000000000008,-1.1900000000000006
Nabil Bentaleb,M,-0.04299999999999998,-0.04299999999999998,-0.031000000000000028,-1.1470000000000011,-1.190000000000001
Rob Holding,D,-0.055999999999999994,-0.33599999999999997,-0.027000000000000024,-0.8640000000000008,-1.2000000000000006
Sokratis,D,-0.03699999999999998,-0.7029999999999996,-0.027000000000000024,-0.5130000000000005,-1.2160000000000002
Steven Bergwijn,F,-0.043999999999999984,-0.35199999999999987,-0.029000000000000026,-0.8700000000000008,-1.2220000000000006
Yan Valery,D,-0.046999999999999986,-0.46999999999999986,-0.027000000000000024,-0.7560000000000007,-1.2260000000000004
Simon Francis,D,-0.046999999999999986,-0.46999999999999986,-0.027000000000000024,-0.7560000000000007,-1.2260000000000004
Max Meyer,M,-0.03899999999999998,-0.23399999999999987,-0.031000000000000028,-0.9920000000000009,-1.2260000000000009
Andriy Yarmolenko,F,-0.04199999999999998,-0.4199999999999998,-0.029000000000000026,-0.8120000000000007,-1.2320000000000007
Ryan Bennett,D,-0.04799999999999999,-0.47999999999999987,-0.027000000000000024,-0.7560000000000007,-1.2360000000000007
Bukayo Saka,F,-0.03699999999999998,-0.6289999999999996,-0.029000000000000026,-0.6090000000000005,-1.238
Aaron Cresswell,D,-0.033999999999999975,-1.0539999999999992,-0.027000000000000024,-0.18900000000000017,-1.2429999999999994
Junior Stanislas,M,-0.04099999999999998,-0.28699999999999987,-0.031000000000000028,-0.9610000000000009,-1.2480000000000007
Alexandre Lacazette,F,-0.035999999999999976,-0.7559999999999996,-0.029000000000000026,-0.49300000000000044,-1.249
Mesut Ozil,M,-0.034999999999999976,-0.6299999999999996,-0.031000000000000028,-0.6200000000000006,-1.25
Gary Cahill,D,-0.035999999999999976,-0.8999999999999995,-0.027000000000000024,-0.3510000000000003,-1.251
Juan Mata,M,-0.04099999999999998,-0.32799999999999985,-0.031000000000000028,-0.9300000000000008,-1.2580000000000007
Divock Origi,F,-0.05199999999999999,-0.36399999999999993,-0.029000000000000026,-0.8990000000000008,-1.2630000000000008
Fabinho,M,-0.034999999999999976,-0.7699999999999995,-0.031000000000000028,-0.49600000000000044,-1.266
Ryan Fredericks,D,-0.03699999999999998,-0.9249999999999994,-0.027000000000000024,-0.3510000000000003,-1.2759999999999998
Kelechi Iheanacho,F,-0.043999999999999984,-0.5279999999999998,-0.029000000000000026,-0.7540000000000007,-1.2820000000000005
Rodrigo,M,-0.034999999999999976,-0.9799999999999993,-0.031000000000000028,-0.3100000000000003,-1.2899999999999996
Pablo Zabaleta,D,-0.07200000000000001,-0.43200000000000005,-0.027000000000000024,-0.8640000000000008,-1.2960000000000007
David Brooks,M,-0.046999999999999986,-0.3759999999999999,-0.031000000000000028,-0.9300000000000008,-1.3060000000000007
Lys Mousset,F,-0.04799999999999999,-0.5279999999999998,-0.029000000000000026,-0.7830000000000007,-1.3110000000000004
Ashley Westwood,M,-0.034999999999999976,-1.2249999999999992,-0.031000000000000028,-0.09300000000000008,-1.3179999999999992
Ilkay Gundogan,M,-0.03799999999999998,-0.7599999999999996,-0.031000000000000028,-0.5580000000000005,-1.318
Sean Longstaff,M,-0.04099999999999998,-0.5739999999999997,-0.031000000000000028,-0.7440000000000007,-1.3180000000000005
Kortney Hause,D,-0.046999999999999986,-0.7049999999999998,-0.027000000000000024,-0.6210000000000006,-1.3260000000000005
Oleksandr Zinchenko,M,-0.04299999999999998,-0.5589999999999997,-0.031000000000000028,-0.7750000000000007,-1.3340000000000005
Robbie Brady,M,-0.065,-0.325,-0.031000000000000028,-1.023000000000001,-1.348000000000001
Martin Kelly,D,-0.045999999999999985,-0.7819999999999998,-0.027000000000000024,-0.5670000000000005,-1.3490000000000002
Wesley,F,-0.04099999999999998,-0.8609999999999995,-0.029000000000000026,-0.49300000000000044,-1.354
Hector Bellerin,D,-0.056999999999999995,-0.627,-0.027000000000000024,-0.7290000000000006,-1.3560000000000008
Douglas Luiz,M,-0.03799999999999998,-0.9879999999999994,-0.031000000000000028,-0.37200000000000033,-1.3599999999999999
Lloyd Kelly,D,-0.07500000000000001,-0.5250000000000001,-0.027000000000000024,-0.8370000000000007,-1.362000000000001
Japhet Tanganga,D,-0.08300000000000002,-0.4980000000000001,-0.027000000000000024,-0.8640000000000008,-1.362000000000001
Alex Iwobi,M,-0.04099999999999998,-0.7789999999999997,-0.031000000000000028,-0.5890000000000005,-1.3680000000000003
Nathaniel Chalobah,M,-0.04999999999999999,-0.4999999999999999,-0.031000000000000028,-0.8680000000000008,-1.3680000000000008
Andre Gray,F,-0.067,-0.46900000000000003,-0.029000000000000026,-0.8990000000000008,-1.3680000000000008
Matt Targett,D,-0.04099999999999998,-1.0249999999999995,-0.027000000000000024,-0.3510000000000003,-1.376
Trezeguet,M,-0.04099999999999998,-0.8199999999999996,-0.031000000000000028,-0.5580000000000005,-1.3780000000000001
Moritz Leitner,M,-0.06,-0.42,-0.031000000000000028,-0.9610000000000009,-1.381000000000001
Ruben Neves,M,-0.03699999999999998,-1.2949999999999993,-0.031000000000000028,-0.09300000000000008,-1.3879999999999995
Paul Dummett,D,-0.05299999999999999,-0.7419999999999999,-0.027000000000000024,-0.6480000000000006,-1.3900000000000006
Timm Klose,D,-0.08000000000000002,-0.56,-0.027000000000000024,-0.8370000000000007,-1.3970000000000007
Dennis Praet,M,-0.04999999999999999,-0.5999999999999999,-0.031000000000000028,-0.8060000000000007,-1.4060000000000006
Pablo Fornals,M,-0.04099999999999998,-0.9839999999999995,-0.031000000000000028,-0.4340000000000004,-1.418
Matthew Longstaff,M,-0.07200000000000001,-0.43200000000000005,-0.031000000000000028,-0.9920000000000009,-1.4240000000000008
Fabian Delph,M,-0.05099999999999999,-0.6629999999999998,-0.031000000000000028,-0.7750000000000007,-1.4380000000000006
