,Player,#,Nation,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Date,Team,Opponent
114,Sander Berge,8.0,no NOR,DM,90,2,2,0,2,0,0,1,0.0,1,21,7,33.3,3,13,5,3,0,0,3,1,,0,0,09/27/20,Sheffield Utd,Leeds United
115,Enda Stevens,3.0,ie IRL,WB,90,8,4,6,2,0,0,0,,0,23,10,43.5,15,4,4,1,1,0,0,1,,5,0,09/27/20,Sheffield Utd,Leeds United
116,George Baldock,2.0,eng ENG,WB,90,0,0,0,0,0,0,1,0.0,1,18,2,11.1,9,7,2,4,0,0,4,0,,2,0,09/27/20,Sheffield Utd,Leeds United
117,Jack Robinson,19.0,eng ENG,CB,90,3,2,1,2,0,2,2,100.0,0,10,3,30.0,6,4,0,2,0,0,2,2,,8,0,09/27/20,Sheffield Utd,Leeds United
118,Ethan Ampadu,22.0,wal WAL,CB,90,0,0,0,0,0,0,0,,0,10,3,30.0,6,4,0,1,1,0,0,0,,8,0,09/27/20,Sheffield Utd,Leeds United
119,Chris Basham,6.0,eng ENG,CB,90,3,1,1,1,1,0,0,,0,14,3,21.4,8,3,3,2,1,1,1,1,,4,0,09/27/20,Sheffield Utd,Leeds United
120,Aaron Ramsdale,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,,0,0,09/27/20,Sheffield Utd,Leeds United
121,Tyler Roberts,11.0,wal WAL,FW,45,0,0,0,0,0,0,1,0.0,1,8,2,25.0,1,6,1,2,0,0,2,0,,0,0,09/27/20,Leeds United,Sheffield Utd
122,Rodrigo,20.0,es ESP,FW,44,0,0,0,0,0,0,0,,0,6,3,50.0,0,3,3,2,0,0,2,0,,1,0,09/27/20,Leeds United,Sheffield Utd
123,Ezgjan Alioski,10.0,mk MKD,FW,1,0,0,0,0,0,0,1,0.0,1,3,1,33.3,1,2,0,1,0,0,1,0,,0,0,09/27/20,Leeds United,Sheffield Utd
124,Patrick Bamford,9.0,eng ENG,FW,90,0,0,0,0,0,0,1,0.0,1,17,5,29.4,2,9,6,2,0,0,2,1,,0,0,09/27/20,Leeds United,Sheffield Utd
125,Stuart Dallas,15.0,nir NIR,CM,90,2,2,1,1,0,1,2,50.0,1,13,6,46.2,6,6,1,4,0,0,4,0,,1,0,09/27/20,Leeds United,Sheffield Utd
126,Mateusz Klich,43.0,pl POL,CM,90,2,2,0,2,0,0,0,,0,22,7,31.8,4,12,6,0,0,0,0,2,,1,0,09/27/20,Leeds United,Sheffield Utd
127,Kalvin Phillips,23.0,eng ENG,DM,90,3,3,2,0,1,0,1,0.0,1,16,11,68.8,9,6,1,3,1,0,2,0,,0,0,09/27/20,Leeds United,Sheffield Utd
128,Jack Harrison,22.0,eng ENG,WB,90,3,2,2,1,0,2,5,40.0,3,20,6,30.0,13,5,2,1,0,0,1,1,,1,0,09/27/20,Leeds United,Sheffield Utd
129,Helder Costa,17.0,pt POR,WB,65,1,1,1,0,0,0,0,,0,13,3,23.1,6,3,4,0,0,0,0,0,,0,0,09/27/20,Leeds United,Sheffield Utd
130,Ian Poveda-Ocampo,7.0,eng ENG,WB,25,0,0,0,0,0,0,0,,0,2,1,50.0,0,2,0,0,0,0,0,0,,0,0,09/27/20,Leeds United,Sheffield Utd
131,Liam Cooper,6.0,sco SCO,CB,90,1,1,1,0,0,0,1,0.0,1,11,4,36.4,8,3,0,3,3,0,0,1,,3,0,09/27/20,Leeds United,Sheffield Utd
132,Robin Koch,5.0,de GER,CB,90,1,1,1,0,0,1,1,100.0,0,9,3,33.3,4,5,0,1,1,0,0,0,,5,0,09/27/20,Leeds United,Sheffield Utd
133,Luke Ayling,2.0,eng ENG,CB,90,1,1,1,0,0,0,0,,0,8,4,50.0,6,1,1,2,0,0,2,0,,2,0,09/27/20,Leeds United,Sheffield Utd
134,Illan Meslier,1.0,fr FRA,GK,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,09/27/20,Leeds United,Sheffield Utd
135,Harry Kane,10.0,eng ENG,FW,90,0,0,0,0,0,0,0,,0,10,5,50.0,0,2,8,2,0,0,2,0,,0,0,09/27/20,Tottenham,Newcastle Utd
136,Son Heung-Min,7.0,kr KOR,LW,45,0,0,0,0,0,0,0,,0,9,2,22.2,0,4,5,0,0,0,0,0,,0,0,09/27/20,Tottenham,Newcastle Utd
137,Steven Bergwijn,23.0,nl NED,LW,45,2,0,1,1,0,0,0,,0,7,1,14.3,2,3,2,0,0,0,0,0,,0,0,09/27/20,Tottenham,Newcastle Utd
138,Lucas Moura,27.0,br BRA,RW,78,0,0,0,0,0,0,0,,0,13,1,7.7,0,7,6,0,0,0,0,0,,1,0,09/27/20,Tottenham,Newcastle Utd
139,Erik Lamela,11.0,ar ARG,RW,12,0,0,0,0,0,0,0,,0,2,0,0.0,1,1,0,0,0,0,0,0,,0,0,09/27/20,Tottenham,Newcastle Utd
140,Giovani Lo Celso,18.0,ar ARG,AM,76,0,0,0,0,0,0,0,,0,14,2,14.3,3,1,10,0,0,0,0,0,,0,0,09/27/20,Tottenham,Newcastle Utd
141,Tanguy Ndombele,28.0,fr FRA,AM,14,0,0,0,0,0,0,0,,0,4,2,50.0,1,2,1,0,0,0,0,0,,0,0,09/27/20,Tottenham,Newcastle Utd
142,Harry Winks,8.0,eng ENG,DM,90,3,1,1,2,0,0,2,0.0,2,20,6,30.0,7,11,2,1,1,0,0,0,,1,0,09/27/20,Tottenham,Newcastle Utd
